# Run 0 Start Timestamp: 1762262353.4740462
# Run 0 End Timestamp: 1762262413.6113331
🤝 Run 1 complete. No trusted advertisements found.
# Run 1 Start Timestamp: 1762262413.6144125
# Run 1 End Timestamp: 1762262473.7374814
🤝 Run 2 complete. No trusted advertisements found.
# Run 2 Start Timestamp: 1762262473.7401292
# Run 2 End Timestamp: 1762262533.8377507
🤝 Run 3 complete. No trusted advertisements found.
# Run 3 Start Timestamp: 1762262533.8403792
# Run 3 End Timestamp: 1762262593.9702325
🤝 Run 4 complete. Samples: 1, Mean RSSI: -104.00 ± 0.00 dBm.
# Run 4 Start Timestamp: 1762262593.9763482
# Run 4 End Timestamp: 1762262654.2083185
🤝 Run 5 complete. No trusted advertisements found.
# Run 5 Start Timestamp: 1762262654.210723
# Run 5 End Timestamp: 1762262714.3545232
🤝 Run 6 complete. No trusted advertisements found.
# Run 6 Start Timestamp: 1762262714.3569741
# Run 6 End Timestamp: 1762262774.509336
🤝 Run 7 complete. No trusted advertisements found.
# Run 7 Start Timestamp: 1762262774.511554
# Run 7 End Timestamp: 1762262834.6479344
🤝 Run 8 complete. No trusted advertisements found.
# Run 8 Start Timestamp: 1762262834.6501856
# Run 8 End Timestamp: 1762262894.8052378
🤝 Run 9 complete. No trusted advertisements found.
# Run 9 Start Timestamp: 1762262894.8138053
# Run 9 End Timestamp: 1762262954.984711
🤝 Run 10 complete. No trusted advertisements found.
# Run 10 Start Timestamp: 1762262954.9872024
# Run 10 End Timestamp: 1762263015.3203933
🤝 Run 11 complete. No trusted advertisements found.
# Run 11 Start Timestamp: 1762263015.3228047
# Run 11 End Timestamp: 1762263075.478621
🤝 Run 12 complete. No trusted advertisements found.
# Run 12 Start Timestamp: 1762263075.4819973
# Run 12 End Timestamp: 1762263135.6284337
🤝 Run 13 complete. No trusted advertisements found.
# Run 13 Start Timestamp: 1762263135.630798
# Run 13 End Timestamp: 1762263195.8064682
🤝 Run 14 complete. No trusted advertisements found.
# Run 14 Start Timestamp: 1762263195.8097937
# Run 14 End Timestamp: 1762263255.9231114
🤝 Run 15 complete. No trusted advertisements found.
# Run 15 Start Timestamp: 1762263255.9255078
# Run 15 End Timestamp: 1762263316.0353465
🤝 Run 16 complete. Samples: 1, Mean RSSI: -98.00 ± 0.00 dBm.
# Run 16 Start Timestamp: 1762263316.039195
# Run 16 End Timestamp: 1762263376.1618195
🤝 Run 17 complete. No trusted advertisements found.
# Run 17 Start Timestamp: 1762263376.1650927
# Run 17 End Timestamp: 1762263436.36674
🤝 Run 18 complete. No trusted advertisements found.
# Run 18 Start Timestamp: 1762263436.3691242
# Run 18 End Timestamp: 1762263496.584931
🤝 Run 19 complete. Samples: 1, Mean RSSI: -95.00 ± 0.00 dBm.
# Run 19 Start Timestamp: 1762263496.5888696
# Run 19 End Timestamp: 1762263556.8135712
🤝 Run 20 complete. No trusted advertisements found.
⏱️ Total elapsed time: 1203.34 seconds, total ads: 3, writing summary to ranges_path/70.0/rssi_log.csv_summary.csv
